City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,hilo,US,78.53,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
1,carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
4,arraial do cabo,BR,82.36,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
6,shihezi,CN,55.92,clear sky,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
7,vaini,TO,73.56,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
8,meadow lake,US,73.71,broken clouds,34.8014,-106.5436,TumbleWeed RV Park
15,bredasdorp,ZA,61.47,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
16,victoria,HK,65.25,clear sky,22.2855,114.1577,Mini Hotel Central
18,aksu,CN,57.31,clear sky,41.1231,80.2644,Pudong Holiday Hotel
19,hermanus,ZA,61.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
22,faanui,PF,81.52,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,beyneu,KZ,64.9,overcast clouds,45.3167,55.2,NUR
24,salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
27,cidreira,BR,69.98,heavy intensity rain,-30.1811,-50.2056,Hotel Castelo
29,honiara,SB,79.0,light rain,-9.4333,159.95,Heritage Park Hotel
30,new norfolk,AU,56.7,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
31,praya,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
32,avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
36,east london,ZA,72.39,overcast clouds,-33.0153,27.9116,Tu Casa
37,airai,TL,56.95,few clouds,-8.9266,125.4092,
38,port alfred,ZA,68.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
39,hobart,AU,57.06,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
41,mabaruma,GY,82.17,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
42,luanda,AO,80.6,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
44,vila velha,BR,84.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
45,naze,JP,58.12,few clouds,28.3667,129.4833,Shishime Hotel
47,dingle,PH,75.43,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
48,ponta do sol,PT,61.43,overcast clouds,32.6667,-17.1,Hotel do Campo
50,atuona,PF,79.95,broken clouds,-9.8,-139.0333,Villa Enata
52,alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
53,butaritari,KI,81.46,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
54,cockburn town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
56,chuy,UY,71.62,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
57,laguna,US,78.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
59,sao filipe,CV,71.13,clear sky,14.8961,-24.4956,Hotel Xaguate
60,faya,SA,66.31,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
62,busselton,AU,62.58,broken clouds,-33.65,115.3333,Observatory Guest House
64,ca mau,VN,77.02,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
65,bluff,NZ,56.23,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
66,mount isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
67,rincon,US,77.86,clear sky,32.296,-81.2354,Days Inn Rincon
70,bengkulu,ID,76.95,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
73,katsuura,JP,54.25,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
74,rikitea,PF,76.71,broken clouds,-23.1203,-134.9692,People ThankYou
75,port elizabeth,ZA,64.09,clear sky,-33.918,25.5701,39 On Nile Guest House
76,marawi,PH,67.33,overcast clouds,7.9986,124.2928,Derogongan Residence
80,amapa,BR,77.52,moderate rain,1.0,-52.0,
81,saint-pierre,RE,74.88,light rain,-21.3393,55.4781,Lindsey Hôtel
82,hokitika,NZ,54.84,clear sky,-42.7167,170.9667,Beachfront Hotel Hokitika
84,mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
85,pyapon,MM,79.88,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
86,kapaa,US,78.19,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
87,palauig,PH,77.88,overcast clouds,15.435,119.9045,Alperi Botique Resort
89,kavieng,PG,80.69,light rain,-2.5744,150.7967,Nusa Island Retreat
90,hithadhoo,MV,83.03,broken clouds,-0.6,73.0833,Scoop Guest House
92,tezu,IN,66.15,light rain,27.9167,96.1667,Circuit House
96,mar del plata,AR,75.22,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
97,salinopolis,BR,81.73,moderate rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
100,saldanha,ZA,59.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
102,lebu,CL,56.89,clear sky,-37.6167,-73.65,Hostal Las Lilas
103,amahai,ID,78.1,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
106,beloha,MG,71.96,clear sky,-25.1667,45.05,
108,mkuranga,TZ,79.79,few clouds,-7.118,39.2078,Luminoso Lodge
110,marsh harbour,BS,78.13,broken clouds,26.5412,-77.0636,Abaco Beach Resort
111,taft,IR,69.75,few clouds,31.7471,54.2088,عمارت ساعتی تفت
112,waipawa,NZ,53.38,few clouds,-41.4122,175.5153,Tora Coastal Walk
114,darnah,LY,60.66,clear sky,32.767,22.6367,فندق الفردوس
115,cape town,ZA,65.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
116,barinas,VE,84.24,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
120,jutai,BR,83.68,overcast clouds,-5.1833,-68.9,
122,necochea,AR,55.35,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
123,georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
126,sao raimundo das mangabeiras,BR,83.8,scattered clouds,-7.0219,-45.4811,Hotel Tropical
128,coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hotel San Juan
129,bambous virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
131,otane,NZ,55.0,broken clouds,-39.8833,176.6333,Ludlow Farmstay
133,vanimo,PG,77.31,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
135,mersing,MY,71.51,light rain,2.4312,103.8405,Timotel Hotel
136,netivot,IL,63.66,overcast clouds,31.4222,34.5886,"'בית החסד - מוסדות מאורות נתן' - מיסודו של הרב נתן בוקובזה זצוק""ל"
137,marzuq,YE,69.84,clear sky,14.4,46.4667,
140,moerai,PF,81.19,overcast clouds,-22.4333,-151.3333,Le Manotel
142,olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
145,pacifica,US,77.43,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
146,sechura,PE,83.52,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
148,buraydah,SA,79.25,broken clouds,26.326,43.975,Mövenpick Qassim
150,mecca,SA,83.8,overcast clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
156,makakilo city,US,77.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
158,harindanga,IN,80.19,overcast clouds,22.0383,88.3214,Hasanur Builders
159,catamarca,AR,84.78,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
160,talas,TR,57.87,broken clouds,38.6908,35.5538,Fimaj Residence
165,nsanje,MW,74.43,few clouds,-16.92,35.262,Nsanje Discovery Lodge
167,itoman,JP,64.42,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
168,saint-philippe,RE,74.79,heavy intensity rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
169,hervey bay,AU,68.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
171,tukrah,LY,64.36,clear sky,32.5341,20.5791,Lagrota restaurant
172,tabas,IR,76.44,broken clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
173,turbat,PK,80.15,clear sky,26.0023,63.044,Mubashar Quarters
174,north platte,US,62.49,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
176,santo amaro da imperatriz,BR,75.76,overcast clouds,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
177,hambantota,LK,79.3,clear sky,6.1241,81.1185,Bungalow 63
178,saint george,US,75.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
180,yendi,GH,83.23,overcast clouds,9.4427,-0.0099,Eyarro Lodge
183,vao,NC,79.11,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
184,kieta,PG,79.11,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
185,palmer,US,52.41,overcast clouds,42.1584,-72.3287,Wedgewood Motel
187,aden,YE,82.56,clear sky,12.7794,45.0367,Sama Emirate Hotel
191,trincomalee,LK,80.64,clear sky,8.5711,81.2335,Welcombe Hotel
192,baturaja,ID,72.95,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
193,damghan,IR,69.35,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
195,uruzgan,AF,58.75,clear sky,32.8333,66.0,
197,codrington,AU,58.39,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
201,jieshi,CN,61.95,clear sky,22.8134,115.8257,Yuehai Hotel
204,axim,GH,81.97,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
205,cartagena,CO,80.22,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
206,grand gaube,MU,80.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
207,itarema,BR,79.29,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
208,cabo san lucas,MX,77.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
209,morehead,US,61.0,clear sky,37.2711,-87.1764,CCI Express Inn
210,isangel,VU,80.24,overcast clouds,-19.55,169.2667,Tanna Lodge
211,rio gallegos,AR,53.65,scattered clouds,-51.6226,-69.2181,Hotel Santa Cruz
212,kirakira,SB,80.71,overcast clouds,-10.4544,161.9205,SanBiz Lodge
213,ribeira grande,PT,64.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
214,nakasongola,UG,73.45,broken clouds,1.3089,32.4564,Norena Hotel Nakasongola
215,ahipara,NZ,64.74,clear sky,-35.1667,173.1667,Ahipara Holiday Park
216,cayenne,GF,82.44,light rain,4.9333,-52.3333,Hôtel Le Dronmi
217,ruwi,OM,82.09,clear sky,23.5996,58.5507,Al Falaj Hotel
218,hobyo,SO,81.61,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
221,los llanos de aridane,ES,64.15,scattered clouds,28.6585,-17.9182,Valle Aridane
224,abyek,IR,64.0,clear sky,36.0667,50.55,kaspian sanat navrd sina(لوله مبلی سینا)
226,natal,BR,79.45,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
230,juba,SS,81.45,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
231,tabou,CI,80.47,overcast clouds,4.423,-7.3528,hotêl doufoulougou
232,kingaroy,AU,64.44,broken clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
234,brazzaville,CG,77.38,overcast clouds,-4.2658,15.2832,Hotel Muesse
236,jamame,SO,79.95,broken clouds,0.0722,42.7506,
237,sao joao da barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
238,las vegas,US,80.19,clear sky,36.175,-115.1372,Plaza Hotel & Casino
239,astoria,US,53.49,overcast clouds,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
240,coihaique,CL,53.55,light intensity shower rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
243,vermilion,US,60.62,clear sky,40.1667,-87.7506,Sparkling Springs Cabin
245,castro,BR,71.73,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
246,sibolga,ID,74.8,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
247,rawson,AR,62.29,few clouds,-43.3002,-65.1023,Hosteria Sampedro
249,santa cruz del sur,CU,84.69,light rain,20.7147,-77.9956,
251,koroni,GR,51.51,few clouds,36.8,21.95,Apartments Xenios Zeus 1
252,kamloops,CA,56.75,broken clouds,50.6665,-120.3192,Ramada by Wyndham Kamloops
253,avera,US,74.37,clear sky,33.194,-82.5271,
256,ambilobe,MG,73.2,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
257,camacha,PT,58.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
261,elizabeth city,US,73.42,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
263,mongomo,GQ,67.39,overcast clouds,1.6274,11.3135,NAIM OBUC
264,lorengau,PG,80.06,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
265,sarkhej,IN,84.33,smoke,22.9833,72.5,Hotel Royal
269,paita,PE,77.67,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
272,banyo,CM,77.88,overcast clouds,6.75,11.8167,Motel JOMBA
274,nkhotakota,MW,73.71,broken clouds,-12.9274,34.2961,Sitima Inn
275,esperance,AU,62.44,light rain,-33.8667,121.9,Hospitality Esperance
277,price,US,61.12,few clouds,39.5994,-110.8107,National 9 - Price River Inn
278,half moon bay,US,78.55,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
279,san policarpo,PH,79.18,overcast clouds,12.1791,125.5072,Agapita M. Nicart
280,hamilton,US,57.94,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
281,beidao,CN,50.68,overcast clouds,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
282,bulawayo,ZW,68.09,broken clouds,-20.15,28.5833,4 On Housman Backpackers
