City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,hilo,US,19.7297,-155.09,78.53,76,100,6.91,heavy intensity rain
1,carnarvon,AU,-24.8667,113.6333,77.07,83,40,12.66,scattered clouds
2,dikson,RU,73.5069,80.5464,-2.94,100,45,9.19,scattered clouds
3,punta arenas,CL,-53.15,-70.9167,41.11,87,40,23.02,light intensity shower rain
4,arraial do cabo,BR,-22.9661,-42.0278,82.36,74,40,12.66,scattered clouds
5,oum hadjer,TD,13.2954,19.6966,91.18,8,81,11.1,broken clouds
6,shihezi,CN,44.3,86.0333,55.92,37,3,5.03,clear sky
7,vaini,TO,-21.2,-175.2,73.56,100,100,5.75,light intensity shower rain
8,meadow lake,US,34.8014,-106.5436,73.71,15,69,12.95,broken clouds
9,mataura,NZ,-46.1927,168.8643,46.13,95,98,2.01,overcast clouds
10,liverpool,GB,53.4106,-2.9779,46.78,70,0,10.36,clear sky
11,skegness,GB,53.1436,0.3363,46.47,72,100,12.5,overcast clouds
12,ushuaia,AR,-54.8,-68.3,38.86,81,40,31.07,light rain
13,clyde river,CA,70.4692,-68.5914,12.43,85,75,8.05,broken clouds
14,albany,US,42.6001,-73.9662,41.63,85,100,0.94,moderate rain
15,bredasdorp,ZA,-34.5322,20.0403,61.47,88,56,2.28,broken clouds
16,victoria,HK,22.2855,114.1577,65.25,66,0,13.0,clear sky
17,tasiilaq,GL,65.6145,-37.6368,30.36,95,95,4.74,overcast clouds
18,aksu,CN,41.1231,80.2644,57.31,29,0,3.02,clear sky
19,hermanus,ZA,-34.4187,19.2345,61.81,87,1,8.59,clear sky
20,srednekolymsk,RU,67.45,153.6833,-18.94,100,95,1.5,overcast clouds
21,tamboril,DO,19.4854,-70.611,88.7,51,20,9.22,few clouds
22,faanui,PF,-16.4833,-151.75,81.52,76,98,9.82,overcast clouds
23,beyneu,KZ,45.3167,55.2,64.9,38,94,11.92,overcast clouds
24,salalah,OM,17.0151,54.0924,80.69,83,0,0.0,clear sky
25,vigrestad,NO,58.5667,5.7,41.59,93,100,24.0,light rain
26,tuktoyaktuk,CA,69.4541,-133.0374,-20.2,69,20,2.3,few clouds
27,cidreira,BR,-30.1811,-50.2056,69.98,95,100,19.13,heavy intensity rain
28,maniitsoq,GL,65.4167,-52.9,34.18,87,3,5.57,clear sky
29,honiara,SB,-9.4333,159.95,79.0,88,97,6.06,light rain
30,new norfolk,AU,-42.7826,147.0587,56.7,89,99,1.03,overcast clouds
31,praya,CV,14.9215,-23.5087,73.94,60,20,13.8,few clouds
32,avarua,CK,-21.2078,-159.775,77.05,94,20,2.3,few clouds
33,jamestown,US,42.097,-79.2353,33.53,75,100,9.22,overcast clouds
34,upernavik,GL,72.7868,-56.1549,18.46,86,46,3.96,scattered clouds
35,qaanaaq,GL,77.484,-69.3632,14.67,75,92,6.04,overcast clouds
36,east london,ZA,-33.0153,27.9116,72.39,89,100,15.41,overcast clouds
